Estudo;Idade;Escolaridade;Estado civil;Genero;Filiação;Partido  ;Ladder;EscalaIdSocial;IdSocial1;IdSocial2;IdSocial3;IdSocial4;Nac1;Nac2;Nac3;NARCISISMO;IdNac1;IdNac2;IDNACIONAL;Cotas raciais;RevCota;Sistema de cotas;RevSistCota;Políticas de ajuda a imigrantes;RevImigr;Privatização do SUS;Privatização dos planos de saúde;Fechamento das fronteiras para imigrantes;Pena de morte;Adoção de crianças por casais homossexuais;Casamento de casais homossexuais;Cirurgia de redesignação de sexo;Legalização do aborto;Educação sexual nas escolas;Direitos trabalhistas;Direitos Humanos;Ampliação do SUS;Transporte público;Clubes de Strip Tease;Censura à pornografia na Internet;RevCensPorn;Pornografia;Prostituição;Politico;Favoravel;Proximidade;Escolha,,,,,,
1;18; Médio Incompleto;Solteiro(a);Homem;Não;;6;4;58,57142857;88;72,5;75;0;6;6;4;10;7;8,5;0;100;20;80;70;30;90;80;20;10;100;100;100;50;90;70;100;70;50;50;0;100;50;100;Bolsonaro;40;2;Atacar,,,
1;18; Superior Incompleto;Solteiro(a);Homem;Não;;6;1;0;100;100;77,25;1;10;8;6,333333333;10;10;10;100;0;100;0;100;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;29;71;38;100;Neutro;0;;,,,,
1;18; Médio Completo;Solteiro(a);Mulher;Não;;7;0;0;100;100;4,5;0;7;0;2,333333333;7;5;6;100;0;100;0;100;0;0;0;0;0;100;100;100;100;100;100;100;100;100;0;100;0;2;16;Neutro;0;;,,,,
1;18; Médio Incompleto;Solteiro(a);Mulher;Não;;5;2;11,42857143;100;100;12,75;1;5;1;2,333333333;9;1;5;100;0;100;0;100;0;0;0;0;80;100;100;100;100;100;100;100;100;100;0;100;0;10;41;Neutro;0;;,,,
1;19; Superior Incompleto;Solteiro(a);Homem;Não;;4;5;48,57142857;48;85;16,25;3;3;6;4;10;5;7,5;30;70;40;60;90;10;80;70;30;20;65;65;50;0;60;75;100;75;90;10;80;20;0;35;Bolsonaro;40;4;Não publicar,,,
1;19; Superior Incompleto;Solteiro(a);Homem;Não;;8;10;57;29,6;70,5;43,25;0;9;7;5,333333333;10;5;7,5;66;34;63;37;33;67;63;64;73;61;56;41;1;0;50;14;100;68;100;47;40;60;0;66;Bolsonaro;80;6;Atacar,
1;19; Médio Completo;Solteiro(a);Homem;Não;;5;0;5,571428571;95;100;70,5;0;0;10;3,333333333;0;0;0;100;0;100;0;100;0;0;0;39;0;100;100;100;75;100;100;100;100;100;51;0;100;63;68;Lula;100;7;Atacar,,,
1;19; Superior Incompleto;Solteiro(a);Homem;Não;;5;1;14,42857143;100;100;76;5;5;6;5,333333333;10;7;8,5;88;12;85;15;100;0;0;51;23;0;100;100;100;100;100;100;100;100;100;85;33;67;72;80;Neutro;0;;,,,
1;19; Superior Incompleto;Solteiro(a);Homem;Não;;7;0;29,42857143;86,4;80;100;0;0;2;0,666666667;1;1;1;67;33;69;31;87;13;23;50;0;56;100;100;100;60;72;72;100;66;82;100;0;100;100;100;Neutro;0;;,,,
1;19; Superior Incompleto;Solteiro(a);Mulher;Não;;9;2;39,28571429;92;65,5;12,5;1;4;7;4;9;6;7,5;0;100;10;90;80;20;20;15;10;20;100;100;80;90;90;80;87;15;80;10;100;0;0;40;Lula;20;1;Não publicar,,
1;19; Médio Incompleto;Solteiro(a);Mulher;Não;;4;0;14,71428571;100;100;43;5;8;5;6;10;10;10;100;0;95;5;90;10;0;48;40;0;100;100;100;100;100;100;100;100;100;62;63;37;12;61;Lula;20;6;Atacar,,,,,
1;19; Médio Completo;Solteiro(a);Mulher;Não;;3;0;2,142857143;100;100;39,25;3;7;3;4,333333333;10;10;10;100;0;90;10;100;0;5;0;0;0;100;100;100;100;100;100;100;100;100;51;70;30;25;51;Lula;80;5;Não publicar,,,
1;20; Superior Incompleto;Solteiro(a);Homem;Não;;4;3;24,28571429;86;83,75;51,25;1;4;6;3,666666667;8;2;5;75;25;85;15;60;40;25;30;15;20;95;100;85;60;90;70;100;85;80;50;40;60;55;40;Bolsonaro;20;3;Defender,,
1;20; Superior Incompleto;Solteiro(a);Homem;Não;;8;2;7,142857143;91;97,5;58,75;1;4;4;3;10;10;10;85;15;85;15;100;0;0;20;0;0;100;100;70;85;100;90;100;100;100;70;50;50;65;50;Lula;60;5;Atacar,,,
1;20; Superior Incompleto;Solteiro(a);Homem;Não;;7;5;50,14285714;79,2;85,25;81,25;4;5;5;4,666666667;7;5;6;38;62;27;73;62;38;31;54;33;60;98;99;100;21;78;73;87;85;96;71;16;84;91;79;Neutro;0;;,
1;20; Médio Completo;Casado(a);Mulher;Não;;4;5;39,42857143;21;86;0,5;0;1;4;1,666666667;10;4;7;53;47;65;35;72;28;82;51;33;0;41;0;0;0;64;100;100;100;44;0;100;0;0;2;Bolsonaro;60;2;Defender,,,
1;20; Superior Incompleto;Solteiro(a);Mulher;Não;;8;1;9,285714286;100;100;5;0;3;0;1;4;1;2,5;90;10;90;10;100;0;0;25;0;20;100;100;100;100;100;100;100;100;100;0;90;10;10;0;Lula;80;6;Atacar,,,,
1;21; Médio Incompleto;Solteiro(a);Homem;Não;;6;5;54,85714286;41;80;64;10;10;5;8,333333333;10;10;10;74;26;64;36;58;42;0;80;100;100;80;59;66;0;0;100;69;72;79;69;58;42;78;67;Bolsonaro;80;1;Defender,,,,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;7;4;39,28571429;80;81,25;62,75;5;10;5;6,666666667;10;5;7,5;0;100;75;25;50;50;0;75;25;0;100;100;100;0;100;75;75;75;100;75;50;50;75;51;Bolsonaro;60;6;Atacar,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;3;1;17,71428571;90,6;88,25;44,5;0;7;1;2,666666667;8;7;7,5;88;12;93;7;70;30;0;58;17;0;88;100;100;80;85;82;100;87;84;35;61;39;68;36;Lula;20;4;Defender
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;5;1;22,85714286;95;90;82,5;2;5;5;4;7;3;5;80;20;80;20;50;50;10;10;50;0;100;100;90;90;95;80;100;90;90;90;10;90;90;60;Lula;20;3;Atacar,,,,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;3;2;14,57142857;96,8;100;87;0;6;10;5,333333333;10;6;8;100;0;100;0;100;0;0;30;21;51;100;100;100;84;100;100;100;100;100;100;44;56;92;100;Lula;40;2;Defender,,,
1;21; Médio Completo;Solteiro(a);Homem;Não;;5;0;11,71428571;100;92,5;94,5;1;1;2;1,333333333;7;5;6;90;10;100;0;100;0;1;10;1;60;100;100;100;100;100;100;100;70;100;100;2;98;90;90;Lula;60;5;Defender,,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;6;2;6,857142857;100;100;48,5;1;8;1;3,333333333;9;9;9;81;19;71;29;100;0;0;0;0;0;100;100;100;100;100;100;100;100;100;40;40;60;20;74;Lula;80;6;Não publicar,,,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;6;2;7,142857143;100;100;50;0;5;10;5;10;10;10;100;0;100;0;100;0;0;0;0;50;100;100;100;100;100;100;100;100;100;100;100;0;0;100;Lula;100;8;Defender,,,,,
1;21; Superior Incompleto;Solteiro(a);Homem;Não;;6;0;38,57142857;95;57,5;100;0;5;0;1,666666667;10;10;10;80;20;90;10;80;20;70;50;0;100;100;100;100;75;100;0;80;100;50;100;0;100;100;100;Neutro;0;;,,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;3;2;9,428571429;99,6;99,25;59;10;8;5;7,666666667;8;6;7;85;15;86;14;100;0;0;22;0;15;100;100;98;100;100;100;100;100;97;75;62;38;56;67;Lula;40;4;Atacar,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;6;0;0;99,8;100;0;0;5;0;1,666666667;10;10;10;100;0;100;0;100;0;0;0;0;0;99;100;100;100;100;100;100;100;100;0;100;0;0;0;Lula;60;5;Não publicar,,,,
1;21; Médio Completo;Solteiro(a);Mulher;Não;;5;0;7,142857143;100;100;40;0;7;5;4;9;7;8;100;0;100;0;100;0;0;50;0;0;100;100;100;100;100;100;100;100;100;30;50;50;30;50;Lula;60;6;Defender,,,,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;4;0;0;100;100;0;2;9;8;6,333333333;10;8;9;100;0;100;0;100;0;0;0;0;0;100;100;100;100;100;100;100;100;100;0;100;0;0;0;Lula;80;7;Atacar,,,,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;7;0;5,285714286;87,4;99;5,25;0;0;0;0;5;2;3,5;86;14;77;23;100;0;0;0;0;0;100;100;37;100;100;96;100;100;100;0;79;21;0;0;Lula;80;7;Atacar,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;5;0;7,142857143;90;100;0;0;10;5;5;10;5;7,5;100;0;100;0;100;0;0;50;0;0;100;100;50;100;100;100;100;100;100;0;100;0;0;0;Lula;80;7;Atacar,,,,
1;21; Superior Incompleto;Solteiro(a);Mulher;Não;;3;0;5,428571429;100;100;12,5;0;3;0;1;10;0;5;100;0;100;0;100;0;0;38;0;0;100;100;100;100;100;100;100;100;100;0;100;0;0;50;Lula;80;7;Atacar,,,,
